r(m), theta(rad), phi(rad), E(Re), E(Im), H(Re), H(Im)
0.300000, 1.884956, 2.450442, 0.005900, 0.010192, 0.000010, 0.000029
0.300000, 1.884956, 2.419026, 0.007093, 0.010565, 0.000015, 0.000030
0.300000, 1.884956, 2.387610, 0.008217, 0.010087, 0.000019, 0.000029
0.300000, 1.884956, 2.356194, 0.008870, 0.009055, 0.000021, 0.000027
0.300000, 1.884956, 2.324779, 0.008961, 0.007904, 0.000023, 0.000024
0.300000, 1.884956, 2.293363, 0.008765, 0.007011, 0.000024, 0.000023
0.300000, 1.884956, 2.261947, 0.008828, 0.006535, 0.000025, 0.000022
0.300000, 1.884956, 2.230531, 0.009585, 0.006492, 0.000029, 0.000021
0.300000, 1.884956, 2.199115, 0.010947, 0.006957, 0.000033, 0.000021
0.300000, 1.884956, 2.167699, 0.012468, 0.008034, 0.000037, 0.000023
0.300000, 1.884956, 2.136283, 0.013748, 0.009647, 0.000040, 0.000025
0.300000, 1.884956, 2.104867, 0.014576, 0.011517, 0.000042, 0.000029
0.300000, 1.884956, 2.073451, 0.014923, 0.013320, 0.000043, 0.000033
0.300000, 1.884956, 2.042035, 0.014883, 0.014790, 0.000043, 0.000036
0.300000, 1.884956, 2.010619, 0.014607, 0.015763, 0.000042, 0.000037
0.300000, 1.884956, 1.979203, 0.014246, 0.016175, 0.000040, 0.000038
0.300000, 1.884956, 1.947787, 0.013908, 0.016045, 0.000039, 0.000037
0.300000, 1.884956, 1.916372, 0.013641, 0.015457, 0.000038, 0.000034
0.300000, 1.884956, 1.884956, 0.013442, 0.014528, 0.000037, 0.000031
0.300000, 1.884956, 1.853540, 0.013282, 0.013389, 0.000036, 0.000027
0.300000, 1.884956, 1.822124, 0.013133, 0.012169, 0.000035, 0.000023
0.300000, 1.884956, 1.790708, 0.012974, 0.010982, 0.000035, 0.000018
0.300000, 1.884956, 1.759292, 0.012799, 0.009918, 0.000034, 0.000014
0.300000, 1.884956, 1.727876, 0.012609, 0.009046, 0.000033, 0.000010
0.300000, 1.884956, 1.696460, 0.012412, 0.008404, 0.000033, 0.000007
0.300000, 1.884956, 1.665044, 0.012216, 0.008001, 0.000032, 0.000006
0.300000, 1.884956, 1.633628, 0.012031, 0.007816, 0.000032, 0.000007
0.300000, 1.884956, 1.602212, 0.011863, 0.007802, 0.000031, 0.000009
0.300000, 1.884956, 1.570796, 0.011721, 0.007899, 0.000031, 0.000012
0.300000, 1.884956, 1.539380, 0.011608, 0.008045, 0.000031, 0.000014
0.300000, 1.884956, 1.507964, 0.011526, 0.008184, 0.000030, 0.000016
0.300000, 1.884956, 1.476549, 0.011466, 0.008273, 0.000030, 0.000018
0.300000, 1.884956, 1.445133, 0.011405, 0.008288, 0.000030, 0.000019
0.300000, 1.884956, 1.413717, 0.011302, 0.008232, 0.000029, 0.000020
0.300000, 1.884956, 1.382301, 0.011100, 0.008132, 0.000029, 0.000021
0.300000, 1.884956, 1.350885, 0.010733, 0.008037, 0.000027, 0.000021
0.300000, 1.884956, 1.319469, 0.010143, 0.007995, 0.000026, 0.000022
0.300000, 1.884956, 1.288053, 0.009297, 0.008021, 0.000023, 0.000022
0.300000, 1.884956, 1.256637, 0.008221, 0.008072, 0.000020, 0.000022
0.300000, 1.884956, 1.225221, 0.007041, 0.008055, 0.000016, 0.000022
0.300000, 1.884956, 1.193805, 0.006014, 0.007886, 0.000013, 0.000020
0.300000, 1.884956, 1.162389, 0.005489, 0.007576, 0.000012, 0.000017
