r(m), theta(rad), phi(rad), E(Re), E(Im)
3000.000000, -2.890265, 2.167699, 0.000004, 0.000000
3000.000000, -2.890265, 2.136283, 0.000004, 0.000000
3000.000000, -2.890265, 2.104867, 0.000004, 0.000000
3000.000000, -2.890265, 2.073451, 0.000005, 0.000000
3000.000000, -2.890265, 2.042035, 0.000005, 0.000000
3000.000000, -2.890265, 2.010619, 0.000005, 0.000000
3000.000000, -2.890265, 1.979203, 0.000005, 0.000000
3000.000000, -2.890265, 1.947787, 0.000005, 0.000000
3000.000000, -2.890265, 1.916372, 0.000005, 0.000000
3000.000000, -2.890265, 1.884956, 0.000004, 0.000000
3000.000000, -2.890265, 1.853540, 0.000004, 0.000000
3000.000000, -2.890265, 1.822124, 0.000003, 0.000000
3000.000000, -2.890265, 1.790708, 0.000003, 0.000000
3000.000000, -2.890265, 1.759292, 0.000003, 0.000000
3000.000000, -2.890265, 1.727876, 0.000004, 0.000000
3000.000000, -2.890265, 1.696460, 0.000005, 0.000000
3000.000000, -2.890265, 1.665044, 0.000006, 0.000000
3000.000000, -2.890265, 1.633628, 0.000006, 0.000000
3000.000000, -2.890265, 1.602212, 0.000007, 0.000000
3000.000000, -2.890265, 1.570796, 0.000007, 0.000000
3000.000000, -2.890265, 1.539380, 0.000007, 0.000000
3000.000000, -2.890265, 1.507964, 0.000007, 0.000000
3000.000000, -2.890265, 1.476549, 0.000006, 0.000000
3000.000000, -2.890265, 1.445133, 0.000005, 0.000000
3000.000000, -2.890265, 1.413717, 0.000004, 0.000000
3000.000000, -2.890265, 1.382301, 0.000003, 0.000000
3000.000000, -2.890265, 1.350885, 0.000003, 0.000000
