X(m), Y(m), Z(m), Ex(Re), Ex(Im), Ey(Re), Ey(Im), Ez(Re), Ez(Im)
-186.886193, -23.609217, -2994.080185, 0.000007, 0.000012, -0.000000, -0.000000, -0.000001, -0.000000
-280.098723, -35.384698, -2986.685894, 0.000012, -0.000005, -0.000000, -0.000000, -0.000001, 0.000001
-373.034831, -47.125258, -2976.344104, -0.000005, -0.000010, -0.000000, 0.000000, 0.000000, 0.000001
-465.602798, -58.819312, -2963.065022, -0.000009, 0.000006, 0.000000, -0.000000, 0.000001, -0.000001
-557.711271, -70.455318, -2946.861752, 0.000006, 0.000009, -0.000000, -0.000000, -0.000002, -0.000001
-649.269350, -82.021793, -2927.750286, 0.000009, -0.000006, -0.000001, -0.000000, -0.000002, 0.000002
-740.186679, -93.507323, -2905.749483, -0.000006, -0.000008, -0.000000, 0.000000, 0.000001, 0.000002
-830.373534, -104.900572, -2880.881057, -0.000008, 0.000006, 0.000000, -0.000000, 0.000002, -0.000002
-919.740909, -116.190297, -2853.169549, 0.000005, 0.000009, -0.000000, -0.000001, -0.000002, -0.000003
-1008.200612, -127.365357, -2822.642307, 0.000009, -0.000004, -0.000001, -0.000000, -0.000004, 0.000002
-1095.665342, -138.414722, -2789.329458, -0.000004, -0.000008, -0.000001, 0.000001, 0.000001, 0.000003
-1182.048783, -149.327488, -2753.263877, -0.000008, 0.000004, 0.000000, 0.000000, 0.000003, -0.000002
-1267.265684, -160.092886, -2714.481157, 0.000003, 0.000009, 0.000000, -0.000001, -0.000002, -0.000004
-1351.231947, -170.700292, -2673.019573, 0.000009, -0.000002, -0.000001, -0.000001, -0.000005, 0.000001
-1433.864707, -181.139237, -2628.920040, -0.000001, -0.000009, -0.000001, 0.000000, -0.000000, 0.000005
-1515.082416, -191.399420, -2582.226081, -0.000008, -0.000000, -0.000000, 0.000001, 0.000004, 0.000000
-1594.804922, -201.470715, -2532.983777, -0.000002, 0.000007, 0.000001, 0.000000, 0.000001, -0.000005
-1672.953548, -211.343182, -2481.241723, 0.000006, 0.000002, 0.000000, -0.000001, -0.000005, -0.000002
-1749.451170, -221.007079, -2427.050983, 0.000002, -0.000006, -0.000000, -0.000001, -0.000002, 0.000004
-1824.222295, -230.452869, -2370.465037, -0.000006, -0.000003, -0.000001, 0.000000, 0.000004, 0.000003
-1897.193134, -239.671229, -2311.539728, -0.000005, 0.000005, -0.000000, 0.000000, 0.000004, -0.000004
-1968.291671, -248.653063, -2250.333209, 0.000002, 0.000006, -0.000000, 0.000001, -0.000002, -0.000005
-2037.447743, -257.389507, -2186.905882, 0.000005, -0.000001, 0.000000, 0.000001, -0.000005, 0.000000
-2104.593099, -265.871938, -2121.320344, 0.000001, -0.000005, 0.000001, 0.000000, -0.000001, 0.000005
-2169.661476, -274.091986, -2053.641318, -0.000004, -0.000002, 0.000001, -0.000000, 0.000004, 0.000002
-2232.588659, -282.041538, -1983.935596, -0.000003, 0.000003, 0.000000, -0.000001, 0.000003, -0.000004
-2293.312547, -289.712749, -1912.271969, 0.000002, 0.000004, -0.000001, -0.000001, -0.000003, -0.000005
-2351.773212, -297.098048, -1838.721161, 0.000004, -0.000000, -0.000001, 0.000000, -0.000006, 0.000000
-2407.912961, -304.190148, -1763.355757, 0.000001, -0.000004, -0.000000, 0.000001, -0.000002, 0.000005
-2461.676391, -310.982048, -1686.250134, -0.000003, -0.000003, 0.000001, 0.000002, 0.000004, 0.000005
-2513.010443, -317.467047, -1607.480385, -0.000004, 0.000000, 0.000002, 0.000001, 0.000006, -0.000001
-2561.864457, -323.638745, -1527.124247, -0.000002, 0.000003, 0.000002, -0.000000, 0.000003, -0.000005
-2608.190220, -329.491049, -1445.261022, 0.000001, 0.000003, 0.000001, -0.000001, -0.000003, -0.000005
-2651.942015, -335.018186, -1361.971499, 0.000003, 0.000000, 0.000001, -0.000001, -0.000006, -0.000001
-2693.076663, -340.214701, -1277.337875, 0.000002, -0.000002, 0.000001, -0.000000, -0.000004, 0.000004
-2731.553569, -345.075465, -1191.443672, -0.000000, -0.000003, 0.000001, -0.000000, 0.000000, 0.000007
-2767.334762, -349.595680, -1104.373658, -0.000002, -0.000002, 0.000002, -0.000001, 0.000005, 0.000005
-2800.384929, -353.770888, -1016.213761, -0.000003, -0.000000, 0.000002, -0.000002, 0.000007, 0.000000
-2830.671455, -357.596965, -927.050983, -0.000002, 0.000001, 0.000002, -0.000003, 0.000006, -0.000004
-2858.164449, -361.070138, -836.973318, -0.000001, 0.000001, 0.000001, -0.000003, 0.000002, -0.000006
-2882.836781, -364.186979, -746.069661, -0.000000, 0.000001, -0.000000, -0.000004, -0.000002, -0.000006
